Player,player_url,Pos,TeamCurrently With,AgeAt Signing,Start,End,Yrs,Value,AAV,PosGroup
Wade Miley,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/8797/wade-miley,SP,CIN CIN,38,2025,2025,1,"$2,500,000","$2,500,000",SP
Dustin May,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/19946/dustin-may,SP,BOS BOS,27,2025,2025,1,"$2,135,000","$2,135,000",SP
Brad Keller,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24672/brad-keller,SP,CHC CHC,29,2025,2025,1,"$1,500,000","$1,500,000",SP
Adrian Houser,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18235/adrian-houser,SP,TB TB,32,2025,2025,1,"$1,375,000","$1,375,000",SP
Patrick Corbin,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/11006/patrick-corbin,SP,TEX TEX,35,2025,2025,1,"$1,100,000","$1,100,000",SP
Jackson Jobe,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/73265/jackson-jobe,SP,DET DET,23,2026,2026,1,"$820,000","$820,000",SP
Brandon Pfaadt,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/48505/brandon-pfaadt,SP,ARI ARI,25,2025,2025,1,"$799,400","$799,400",SP
Tyler Alexander,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/28857/tyler-alexander,SP,CHW CHW,30,2025,2025,1,"$760,000","$760,000",SP
Walker Buehler,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17639/walker-buehler,SP,PHI PHI,31,2025,2025,1,"$760,000","$760,000",SP
Josh Hader,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21236/josh-hader,RP,HOU HOU,29,2024,2028,5,"$95,000,000","$19,000,000",RP
Tanner Scott,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24484/tanner-scott,RP,LAD LAD,30,2025,2028,4,"$72,000,000","$18,000,000",RP
Raisel Iglesias,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/15416/raisel-iglesias,RP,ATL ATL,31,2022,2025,4,"$58,000,000","$14,500,000",RP
Jordan Hicks,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/20529/jordan-hicks,RP,BOS BOS,27,2024,2027,4,"$44,000,000","$11,000,000",RP
Rafael Montero,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/15709/rafael-montero,RP,DET DET,32,2023,2025,3,"$34,500,000","$11,500,000",RP
Robert Stephenson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/14095/robert-stephenson,RP,LAA LAA,30,2024,2026,3,"$33,000,000","$11,000,000",RP
Jeff Hoffman,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17686/jeff-hoffman,RP,TOR TOR,32,2025,2027,3,"$33,000,000","$11,000,000",RP
Taylor Rogers,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18416/taylor-rogers,RP,CHC CHC,32,2023,2025,3,"$33,000,000","$11,000,000",RP
Yuki Matsui,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/86416/yuki-matsui,RP,SD SD,28,2024,2028,5,"$28,000,000","$5,600,000",RP
Joe Jimenez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21338/joe-jimenez,RP,ATL ATL,28,2024,2026,3,"$26,000,000","$8,666,667",RP
Carlos Estevez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18375/carlos-estevez,RP,KC KC,32,2025,2027,2,"$22,200,000","$11,100,000",RP
Jose Alvarado,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21172/jose-alvarado,RP,PHI PHI,27,2023,2026,3,"$22,000,000","$7,333,333",RP
Blake Treinen,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16022/blake-treinen,RP,LAD LAD,36,2025,2026,2,"$22,000,000","$11,000,000",RP
A.J. Minter,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/20528/aj-minter,RP,NYM NYM,31,2025,2026,2,"$22,000,000","$11,000,000",RP
Emmanuel Clase,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/32706/emmanuel-clase,RP,CLE CLE,23,2022,2028,5,"$20,000,000","$4,000,000",RP
Justin Martinez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/80129/justin-martinez,RP,ARI ARI,23,2025,2031,5,"$18,000,000","$3,600,000",RP
Wandy Peralta,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21041/wandy-peralta,RP,SD SD,32,2024,2027,4,"$16,500,000","$4,125,000",RP
Emilio Pagan,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/22485/emilio-pagan,RP,CIN CIN,32,2024,2025,2,"$16,000,000","$8,000,000",RP
David Robertson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/7466/david-robertson,RP,PHI PHI,40,2025,2025,1,"$15,942,857","$15,942,857",RP
Matt Strahm,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18379/matt-strahm,RP,PHI PHI,31,2023,2024,2,"$15,000,000","$7,500,000",RP
Yimi Garcia,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16092/yimi-garcia,RP,TOR TOR,34,2025,2026,2,"$15,000,000","$7,500,000",RP
Aroldis Chapman,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/6462/aroldis-chapman,RP,BOS BOS,37,2026,2027,1,"$13,300,000","$13,300,000",RP
Aaron Bummer,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24274/aaron-bummer,RP,ATL ATL,31,2025,2026,2,"$13,000,000","$6,500,000",RP
Kirby Yates,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/15678/kirby-yates,RP,LAD LAD,37,2025,2025,1,"$13,000,000","$13,000,000",RP
Aroldis Chapman,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/6462/aroldis-chapman,RP,BOS BOS,36,2025,2025,1,"$10,750,000","$10,750,000",RP
Andrew Kittredge,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24229/andrew-kittredge,RP,BAL BAL,34,2025,2026,1,"$10,000,000","$10,000,000",RP
Kenley Jansen,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/7635/kenley-jansen,RP,LAA LAA,37,2025,2025,1,"$10,000,000","$10,000,000",RP
Jose Leclerc,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18358/jose-leclerc,RP,ATH ATH,31,2025,2025,1,"$10,000,000","$10,000,000",RP
Ryan Brasier,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/12089/ryan-brasier,RP,CHC CHC,36,2024,2025,2,"$9,000,000","$4,500,000",RP
Devin Williams,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/32715/devin-williams,RP,NYY NYY,30,2025,2025,1,"$8,600,000","$8,600,000",RP
Jordan Romano,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/28249/jordan-romano,RP,PHI PHI,31,2025,2025,1,"$8,500,000","$8,500,000",RP
Ryan Helsley,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17819/ryan-helsley,RP,NYM NYM,30,2025,2025,1,"$8,200,000","$8,200,000",RP
Tommy Kahnle,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/14119/tommy-kahnle,RP,DET DET,35,2025,2025,1,"$7,750,000","$7,750,000",RP
Andres Munoz,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/32385/andres-munoz,RP,SEA SEA,22,2022,2028,4,"$7,500,000","$1,875,000",RP
Matt Strahm,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18379/matt-strahm,RP,PHI PHI,32,2025,2026,1,"$7,500,000","$7,500,000",RP
Seranthony Dominguez,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24550/seranthony-dominguez,RP,TOR TOR,27,2023,2025,2,"$7,250,000","$3,625,000",RP
Trevor May,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/trevor-may,RP,ATH ATH,33,2023,2023,1,"$7,000,000","$7,000,000",RP
Kyle Finnegan,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/47064/kyle-finnegan,RP,DET DET,33,2025,2025,1,"$6,000,000","$6,000,000",RP
Chris Martin,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/14131/chris-martin,RP,TEX TEX,38,2025,2025,1,"$5,500,000","$5,500,000",RP
Gregory Soto,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24622/gregory-soto,RP,NYM NYM,29,2025,2025,1,"$5,350,000","$5,350,000",RP
Tyler Rogers,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/28961/tyler-rogers,RP,NYM NYM,34,2025,2025,1,"$5,250,000","$5,250,000",RP
Michael Kopech,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17709/michael-kopech,RP,LAD LAD,28,2025,2025,1,"$5,200,000","$5,200,000",RP
Ryne Stanek,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21195/ryne-stanek,RP,NYM NYM,33,2025,2025,1,"$4,500,000","$4,500,000",RP
Jake Junis,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21203/jake-junis,RP,CLE CLE,32,2025,2025,1,"$4,500,000","$4,500,000",RP
Hunter Harvey,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/18492/hunter-harvey,RP,KC KC,30,2025,2025,1,"$3,700,000","$3,700,000",RP
Caleb Ferguson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/26023/caleb-ferguson,RP,SEA SEA,28,2025,2025,1,"$3,000,000","$3,000,000",RP
Danny Coulombe,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16093/danny-coulombe,RP,TEX TEX,35,2025,2025,1,"$3,000,000","$3,000,000",RP
Tim Hill,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24628/tim-hill,RP,NYY NYY,34,2025,2026,1,"$2,850,000","$2,850,000",RP
Caleb Thielbar,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/14320/caleb-thielbar,RP,CHC CHC,37,2025,2025,1,"$2,750,000","$2,750,000",RP
Derek Law,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16588/derek-law,RP,WSH WSH,34,2025,2025,1,"$2,750,000","$2,750,000",RP
Dietrich Enns,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21191/dietrich-enns,RP,BAL BAL,34,2026,2027,1,"$2,625,000","$2,625,000",RP
Ryan Yarbrough,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24643/ryan-yarbrough,RP,NYY NYY,33,2026,2026,1,"$2,500,000","$2,500,000",RP
Hoby Milner,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21335/hoby-milner,RP,TEX TEX,33,2025,2025,1,"$2,500,000","$2,500,000",RP
Alex Vesia,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/26719/alex-vesia,RP,LAD LAD,28,2025,2025,1,"$2,300,000","$2,300,000",RP
Justin Wilson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/11507/justin-wilson,RP,BOS BOS,37,2025,2025,1,"$2,250,000","$2,250,000",RP
Phil Maton,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/23083/phil-maton,RP,TEX TEX,31,2025,2025,1,"$2,000,000","$2,000,000",RP
Luke Weaver,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17703/luke-weaver,RP,NYY NYY,30,2024,2025,1,"$2,000,000","$2,000,000",RP
Brooks Raley,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/11626/brooks-raley,RP,NYM NYM,36,2025,2026,1,"$1,850,000","$1,850,000",RP
Drew Pomeranz,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/8709/drew-pomeranz,RP,CHC CHC,36,2025,2025,1,"$1,500,000","$1,500,000",RP
Miguel Castro,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16628/miguel-castro,RP,CHW CHW,30,2025,2025,1,"$1,500,000","$1,500,000",RP
Nate Pearson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/23237/nate-pearson,RP,HOU HOU,29,2026,2026,1,"$1,350,000","$1,350,000",RP
Keegan Thompson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/23316/keegan-thompson,RP,CIN CIN,30,2026,2026,1,"$1,300,000","$1,300,000",RP
Jalen Beeks,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24547/jalen-beeks,RP,ARI ARI,31,2025,2025,1,"$1,250,000","$1,250,000",RP
Shawn Armstrong,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16520/shawn-armstrong,RP,TEX TEX,34,2025,2025,1,"$1,250,000","$1,250,000",RP
Kyle Hart,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/35717/kyle-hart,RP,SD SD,32,2026,2027,1,"$1,000,000","$1,000,000",RP
Richard Lovelady,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/20073/richard-lovelady,RP,NYM NYM,30,2026,2026,1,"$1,000,000","$1,000,000",RP
Shelby Miller,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/11476/shelby-miller,RP,MIL MIL,34,2025,2025,1,"$1,000,000","$1,000,000",RP
Sean Newcomb,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/17692/sean-newcomb,RP,ATH ATH,31,2025,2025,1,"$1,000,000","$1,000,000",RP
Andrew Chafin,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/15178/andrew-chafin,RP,LAA LAA,34,2025,2025,1,"$1,000,000","$1,000,000",RP
Hunter Strickland,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/12095/hunter-strickland,RP,LAA LAA,36,2025,2025,1,"$1,000,000","$1,000,000",RP
Tim Mayza,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24365/tim-mayza,RP,PHI PHI,33,2025,2025,1,"$976,876","$976,876",RP
Nick Mears,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/48772/nick-mears,RP,MIL MIL,28,2025,2025,1,"$963,000","$963,000",RP
Rico Garcia,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/32811/rico-garcia,RP,BAL BAL,31,2026,2026,1,"$900,000","$900,000",RP
Josh Walker,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/74692/josh-walker,RP,ATL ATL,30,2026,2026,1,"$820,000","$820,000",RP
Cooper Criswell,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/27608/cooper-criswell,RP,BOS BOS,29,2026,2026,1,"$800,000","$800,000",RP
José Ureña,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16098/jos%C3%A9-ure%C3%B1a,RP,LAA LAA,33,2025,2025,1,"$760,000","$760,000",RP
JT Brubaker,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/28185/jt-brubaker,RP,SF SF,31,2025,2025,1,"$760,000","$760,000",RP
Craig Kimbrel,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/7233/craig-kimbrel,RP,HOU HOU,37,2025,2025,1,"$760,000","$760,000",RP
Paul Blackburn,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/21233/paul-blackburn,RP,NYY NYY,31,2025,2025,1,"$760,000","$760,000",RP
Luke Jackson,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16598/luke-jackson,RP,SEA SEA,33,2025,2025,1,"$760,000","$760,000",RP
Ron Marinaccio,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/74683/ron-marinaccio,RP,SD SD,29,2025,2025,1,"$760,000","$760,000",RP
Lou Trivino,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/24639/lou-trivino,RP,PHI PHI,33,2025,2025,1,"$760,000","$760,000",RP
Luis Garcia,https://www.spotrac.comhttps://www.spotrac.com/mlb/player/_/id/16053/luis-garcia,RP,LAA LAA,38,2025,2025,1,"$760,000","$760,000",RP
